Standard Make,Standard Model,Standard Sub-model or Variant,Classification Type,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Non-Contiguous Year Segments,Lifecycle Status,Vehicle Category,Market,Validation Status,Primary Source Name,Primary Source URL,Secondary Source Name,Secondary Source URL,Source Access Date,Catalog Origin,Present in Original Source,Raw Source Value,Notes
Porsche,Cayman,GTS,Trim,2015-2016; 2018-2019,2015,2019,2,Discontinued,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2015&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,CAYMAN GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s).
Porsche,Macan,GTS,Trim,2017-2018; 2020-2026,2017,2026,2,Active,SUV/Crossover,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,MACAN GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 9 model year(s).
Porsche,Panamera,GTS,Trim,2013-2016; 2019-2023; 2025,2013,2025,3,Active,Passenger Car,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2013&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,PANAMERA GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 10 model year(s).
Porsche,Taycan,GT,Trim,2025-2026,2025,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Taycan Turbo GT,Value explicit in EPA certification model strings; observed in 2 model year(s).
Porsche,Taycan,GTS,Trim,2022-2026,2022,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Taycan GTS,Value explicit in EPA certification model strings; observed in 5 model year(s).
Porsche,Taycan,Sport,Trim,2023-2026,2023,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Taycan GTS Sport Turismo,Value explicit in EPA certification model strings; observed in 4 model year(s).
Ram,1500,TRX,Sub-model,2021-2024,2021,2024,1,Discontinued,Pickup Truck,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2021&make=RAM&issueType=r,2026-07-18,Added - External Research (V2),No,1500 CREW CAB TRX,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s).
Saab,9-3,Sport,Trim,2003-2012,2003,2012,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,9-3 Sport Sedan,Value explicit in EPA certification model strings; observed in 10 model year(s).
Suzuki,Sidekick,Sport,Trim,1996-1998,1996,1998,1,Discontinued,SUV/Crossover,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1996&make=SUZUKI&issueType=r,2026-07-18,Added - External Research (V2),No,SIDEKICK SPORT,Value explicit in EPA certification model strings and NHTSA recall records; observed in 3 model year(s).
Suzuki,Swift,GT,Trim,1990-1994,1990,1994,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Swift GT,Value explicit in EPA certification model strings; observed in 5 model year(s).
Suzuki,SX4,Anniversary,Edition,2011,2011,2011,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,SX4 Sport/Anniversary Edition,Value explicit in EPA certification model strings; observed in 1 model year(s).
Suzuki,SX4,Sport,Trim,2009-2013,2009,2013,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,SX4 Sport,Value explicit in EPA certification model strings; observed in 5 model year(s).
Toyota,Avalon,XLE,Trim,2019-2022,2019,2022,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Avalon Hybrid XLE,Value explicit in EPA certification model strings; observed in 4 model year(s).
Toyota,bZ,Limited,Trim,2026,2026,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,bZ AWD LIMITED,Value explicit in EPA certification model strings; observed in 1 model year(s).
Toyota,bZ4X,Limited,Trim,2023-2025,2023,2025,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,bZ4X LIMITED,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Camry,LE,Trim,2012-2026,2012,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Camry AWD LE/SE,Value explicit in EPA certification model strings; observed in 15 model year(s).
Toyota,Camry,SE,Trim,2014-2026,2014,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Camry AWD LE/SE,Value explicit in EPA certification model strings; observed in 13 model year(s).
Toyota,Camry,XLE,Trim,2012-2026,2012,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Camry AWD XLE/XSE,Value explicit in EPA certification model strings; observed in 15 model year(s).
Toyota,Camry,XSE,Trim,2018-2026,2018,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Camry AWD XLE/XSE,Value explicit in EPA certification model strings; observed in 9 model year(s).
Toyota,Corolla,LE,Trim,2014-2019,2014,2019,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Corolla LE Eco,Value explicit in EPA certification model strings; observed in 6 model year(s).
Toyota,Corolla,SE,Trim,2026,2026,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Corolla Hybrid SE,Value explicit in EPA certification model strings; observed in 1 model year(s).
Toyota,Corolla,Sport,Trim,1984-1987,1984,1987,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Corolla Sport,Value explicit in EPA certification model strings; observed in 4 model year(s).
Toyota,Corolla,XLE,Trim,2020-2022,2020,2022,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Corolla XLE,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Corolla,XSE,Trim,2019-2026,2019,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Corolla Hatchback XSE,Value explicit in EPA certification model strings; observed in 8 model year(s).
Toyota,Grand Highlander,LE,Trim,2024-2026,2024,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Grand Highlander AWD LE/XLE,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Grand Highlander,Limited,Trim,2024-2026,2024,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Grand Highlander AWD Limited/Platinum,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Grand Highlander,Platinum,Trim,2024-2026,2024,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Grand Highlander AWD Limited/Platinum,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Grand Highlander,XLE,Trim,2024-2026,2024,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Grand Highlander AWD LE/XLE,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Highlander,LE,Trim,2014-2019,2014,2019,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Highlander AWD LE,Value explicit in EPA certification model strings; observed in 6 model year(s).
Toyota,Highlander,SE,Trim,2017-2019,2017,2019,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Highlander LE/XLE/SE/LTD,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Highlander,XLE,Trim,2017-2019,2017,2019,1,Discontinued,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Highlander LE/XLE/SE/LTD,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Mirai,LE,Trim,2022-2023,2022,2023,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Mirai LE,Value explicit in EPA certification model strings; observed in 2 model year(s).
Toyota,Mirai,Limited,Trim,2021-2024,2021,2024,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Mirai Limited,Value explicit in EPA certification model strings; observed in 4 model year(s).
Toyota,Mirai,XLE,Trim,2021-2025,2021,2025,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Mirai XLE,Value explicit in EPA certification model strings; observed in 5 model year(s).
Toyota,Prius,SE,Trim,2025,2025,2025,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Prius PHEV SE,Value explicit in EPA certification model strings; observed in 1 model year(s).
Toyota,Prius,XLE,Trim,2023-2026,2023,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Prius AWD XLE/LTD,Value explicit in EPA certification model strings; observed in 4 model year(s).
Toyota,Prius Prime,SE,Trim,2023-2024,2023,2024,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Prius Prime SE,Value explicit in EPA certification model strings; observed in 2 model year(s).
Toyota,RAV4,LE,Trim,2015-2018; 2020-2026,2015,2026,2,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD LE,Value explicit in EPA certification model strings; observed in 11 model year(s).
Toyota,RAV4,Limited,Trim,2013-2018; 2026,2013,2026,2,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD Limited & XSE,Value explicit in EPA certification model strings; observed in 7 model year(s).
Toyota,RAV4,SE,Trim,2016-2018; 2026,2016,2026,2,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD SE & LE,Value explicit in EPA certification model strings; observed in 4 model year(s).
Toyota,RAV4,XLE,Trim,2015-2018; 2026,2015,2026,2,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD XLE,Value explicit in EPA certification model strings; observed in 5 model year(s).
Toyota,RAV4,XSE,Trim,2026,2026,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,RAV4 AWD Limited & XSE,Value explicit in EPA certification model strings; observed in 1 model year(s).
Toyota,Tacoma,Limited,Trim,2024-2026,2024,2026,1,Active,Pickup Truck,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Tacoma SR5/Sport/Off-Road/Limited 4WD,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Tacoma,Sport,Trim,2024-2026,2024,2026,1,Active,Pickup Truck,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Tacoma SR5/Sport/Off-Road/Limited 4WD,Value explicit in EPA certification model strings; observed in 3 model year(s).
Toyota,Tacoma,SR5,Trim,2024-2026,2024,2026,1,Active,Pickup Truck,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Tacoma SR5/Sport/Off-Road/Limited 4WD,Value explicit in EPA certification model strings; observed in 3 model year(s).
Volkswagen,Atlas,SE,Trim,2024-2026,2024,2026,1,Active,SUV/Crossover,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Atlas SE 4motion,Value explicit in EPA certification model strings; observed in 3 model year(s).
Volkswagen,Jetta,SE,Trim,2022-2026,2022,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Jetta SE/SEL,Value explicit in EPA certification model strings; observed in 5 model year(s).
Volkswagen,Jetta,Sport,Trim,2023-2026,2023,2026,1,Active,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,Jetta Sport/SE/SEL,Value explicit in EPA certification model strings; observed in 4 model year(s).
Volkswagen,Tiguan,Limited,Trim,2018,2018,2018,1,Discontinued,SUV/Crossover,United States,Fully Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=VOLKSWAGEN&issueType=r,2026-07-18,Added - External Research (V2),No,TIGUAN LIMITED,Value explicit in EPA certification model strings and NHTSA recall records; observed in 1 model year(s).
Volvo,940,SE,Trim,1991,1991,1991,1,Discontinued,Passenger Car,United States,Government Verified,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,2026-07-18,Added - External Research (V2),No,940 SE,Value explicit in EPA certification model strings; observed in 1 model year(s).
